[1758209002981556663],,,,,,,0.0
[1758209002986633434],,,,9.361,2.854,1.109,
[1758209002986633434],,,,,,,0.0
[1758209002991721872],,,,9.517,2.945,1.367,
[1758209002991721872],,,,,,,0.0
[1758209002996814632],,,,9.352,2.78,1.48,
[1758209002996814632],,,,,,,0.0
[1758209003001898747],,,,9.498,2.897,1.08,
[1758209003001898747],,,,,,,0.0
[1758209003006946351],,,,9.519,2.804,1.207,
[1758209003006946351],,,,,,,0.0
[1758209003012093174],,,,9.388,2.772,1.489,
[1758209003012093174],,,,,,,0.0
[1758209003017247080],,,,9.337,3.026,1.204,
[1758209003017247080],,,,,,,0.0
[1758209003022419736],,,,9.38,2.794,1.324,
[1758209003022419736],,,,,,,0.0
[1758209003030627653],,,,9.416,2.844,1.245,
[1758209003030627653],,,,,,,0.0
[1758209003035715309],,,,9.481,2.942,1.13,
[1758209003035715309],,,,,,,0.0
[1758209003040766038],,,,9.404,2.928,1.3,
[1758209003040766038],,,,,,,0.0
[1758209003045800413],,,,9.527,2.902,1.135,
[1758209003045800413],,,,,,,0.0
[1758209003050940986],,,,9.481,2.899,1.475,
[1758209003050940986],,,,,,,0.0
[1758209003056040569],,,,9.651,2.832,1.446,
[1758209003056040569],,,,,,,0.0
[1758209003061086090],,,,9.505,2.885,1.276,
[1758209003061086090],,,,,,,0.0
[1758209003066114892],,,,9.445,3.053,1.559,
[1758209003066114892],,,,,,,0.0
[1758209003071599059],,,,9.273,2.892,1.274,
[1758209003071599059],,,,,,,0.0
[1758209003076671715],,,,9.378,2.863,1.233,
[1758209003076671715],,,,,,,0.0
[1758209003082229476],,,,9.457,2.885,1.31,
[1758209003082229476],,,,,,,0.0
[1758209003087414580],,,,9.404,2.823,1.298,
[1758209003087414580],,,,,,,0.0
[1758209003092495674],,,,9.639,2.83,1.245,
[1758209003092495674],,,,,,,0.0
[1758209003097589684],,,,9.618,2.899,1.238,
[1758209003097589684],,,,,,,0.0
[1758209003102698851],,,,9.541,2.77,1.283,
[1758209003102698851],,,,,,,0.0
[1758209003107736715],,,,9.673,2.847,1.233,
[1758209003107736715],,,,,,,0.0
[1758209003112783330],,,,9.471,2.942,1.247,
[1758209003112783330],,,,,,,0.0
[1758209003117851611],,,,9.392,2.78,1.362,
[1758209003117851611],,,,,,,0.0
[1758209003123011351],,,,9.4,3.024,1.312,
[1758209003123011351],,,,,,,0.0
[1758209003128203486],,,,9.361,2.772,1.25,
[1758209003128203486],,,,,,,0.0
[1758209003133356976],,,,9.428,2.859,1.302,
[1758209003133356976],,,,,,,0.0
[1758209003138449163],,,,9.498,2.844,1.322,
[1758209003138449163],,,,,,,0.0
[1758209003143571976],,,,9.357,2.878,1.271,
[1758209003143571976],,,,,,,0.0
[1758209003148603851],,,,9.471,2.976,1.245,
[1758209003148603851],,,,,,,0.0
[1758209003153672028],,,,9.366,2.885,1.367,
[1758209003153672028],,,,,,,0.0
[1758209003158720465],,,,9.376,2.921,1.231,
[1758209003158720465],,,,,,,0.0
[1758209003163802653],,,,9.483,2.82,1.293,
[1758209003163802653],,,,,,,0.0
[1758209003168856299],,,,9.414,2.959,1.319,
[1758209003168856299],,,,,,,0.0
[1758209003173897132],,,,9.555,2.904,1.319,
[1758209003173897132],,,,,,,0.0
[1758209003179107705],,,,9.529,2.811,1.228,
[1758209003179107705],,,,,,,0.0
[1758209003184289319],,,,9.385,3.005,1.166,
[1758209003184289319],,,,,,,0.0
[1758209003190013017],,,,9.438,2.796,1.346,
[1758209003190013017],,,,,,,0.0
[1758209003196659684],,,,9.457,2.887,1.317,
[1758209003196659684],,,,,,,0.0
[1758209003202986351],,,,9.491,2.804,1.36,
[1758209003202986351],,,,,,,0.0
[1758209003208077392],,,,9.34,2.873,1.319,
[1758209003208077392],,,,,,,0.0
[1758209003213237913],,,,9.598,2.897,1.288,
[1758209003213237913],,,,,,,0.0
[1758209003218322340],,,,9.364,2.875,1.324,
[1758209003218322340],,,,,,,0.0
[1758209003223354528],,,,9.385,2.957,1.314,
[1758209003223354528],,,,,,,0.0
[1758209003228527549],,,,9.232,2.856,1.286,
[1758209003228527549],,,,,,,0.0
[1758209003233730101],,,,9.491,2.818,1.437,
[1758209003233730101],,,,,,,0.0
[1758209003238776455],,,,9.531,2.892,1.52,
[1758209003238776455],,,,,,,0.0
[1758209003243824632],,,,9.474,2.818,1.156,
[1758209003243824632],,,,,,,0.0
[1758209003248855830],,,,9.479,2.849,1.288,
[1758209003248855830],,,,,,,0.0
[1758209003253969580],,,,9.416,2.902,1.329,
[1758209003253969580],,,,,,,0.0
[1758209003259256351],,,,9.428,2.784,1.154,
[1758209003259256351],,,,,,,0.0
[1758209003264380934],,,,9.237,2.981,1.231,
[1758209003264380934],,,,,,,0.0
[1758209003269476038],,,,9.455,2.851,1.355,
[1758209003269476038],,,,,,,0.0
[1758209003274510049],,,,9.392,2.806,1.255,
[1758209003274510049],,,,,,,0.0
[1758209003279691038],,,,9.462,2.892,1.267,
[1758209003279691038],,,,,,,0.0
[1758209003284798069],,,,9.347,2.928,1.326,
[1758209003284798069],,,,,,,0.0
[1758209003289994632],,,,9.436,2.94,1.602,
[1758209003289994632],,,,,,,0.0
[1758209003295551767],,,,9.491,2.823,1.243,
[1758209003295551767],,,,,,,0.0
[1758209003300696819],,,,9.448,2.842,1.132,
[1758209003300696819],,,,,,,0.0
[1758209003305811090],,,,9.421,2.866,1.259,
[1758209003305811090],,,,,,,0.0
[1758209003310892028],,,,9.371,2.88,1.094,
[1758209003310892028],,,,,,,0.0
[1758209003315956038],,,,9.414,2.931,1.176,
[1758209003315956038],,,,,,,0.0
[1758209003321068642],,,,9.495,2.842,1.31,
