time_abs_s,time_rel_s,z1_raw,z1_rot_fit,z1_compensated
1758217989.3834891,4.666732311248779,-8.535,-6.779750792193369,-1.7552492078066315
1758217989.3893433,4.672586441040039,-8.365,-6.840016156439578,-1.5249838435604222
1758217989.3952544,4.678497552871704,-8.375,-6.8996956394147535,-1.4753043605852465
1758217989.400998,4.68424129486084,-8.375,-6.956547196613379,-1.4184528033866206
1758217989.406808,4.690051078796387,-8.416,-7.0129018718330975,-1.4030981281669028
1758217989.4127002,4.695943355560303,-8.571,-7.068865416845524,-1.5021345831544757
1758217989.4184623,4.701705455780029,-8.669,-7.12242335435315,-1.5465766456468506
1758217989.4242492,4.707492351531982,-8.662,-7.175039396361464,-1.4869606036385372
1758217989.4300272,4.713270425796509,-8.885,-7.226394547336475,-1.658605452663525
1758217989.4360294,4.719272613525391,-8.521,-7.278483397302581,-1.2425166026974201
1758217989.4416714,4.72491455078125,-8.712,-7.326268852671986,-1.3857311473280136
1758217989.4475718,4.7308149337768555,-8.667,-7.375014921248688,-1.2919850787513116
1758217989.4532516,4.736494779586792,-8.782,-7.420745163290296,-1.361254836709704
1758217989.4590356,4.742278814315796,-8.423,-7.466103249324143,-0.956896750675857
1758217989.4648361,4.748079299926758,-8.923,-7.51035577200786,-1.41264422799214
1758217989.4719076,4.75515079498291,-9.086,-7.562622174342668,-1.5233778256573327
1758217989.477878,4.7611212730407715,-8.715,-7.605302524574665,-1.1096974754253353
1758217989.4845724,4.767815589904785,-8.959,-7.651570733524612,-1.3074292664753875
1758217989.4913838,4.774626970291138,-9.067,-7.696916587139945,-1.3700834128600548
1758217989.4978764,4.7811195850372314,-8.878,-7.738505260234952,-1.1394947397650483
1758217989.5041964,4.787439584732056,-8.969,-7.777447244656379,-1.1915527553436203
1758217989.5108342,4.794077396392822,-9.21,-7.816702356755374,-1.393297643244627
1758217989.5173306,4.800573825836182,-9.139,-7.8534814252733085,-1.2855185747266908
1758217989.5238476,4.807090759277344,-9.335,-7.888739005389203,-1.4462609946107978
1758217989.5301807,4.8134238719940186,-9.44,-7.921423812268516,-1.5185761877314832
1758217989.5366766,4.81991982460022,-9.84,-7.953326105175936,-1.8866738948240638
1758217989.5433397,4.826582908630371,-8.569,-7.984334944518173,-0.5846650554818282
1758217989.549796,4.833039283752441,-9.28,-8.012719487517995,-1.2672805124820048
1758217989.5565646,4.839807748794556,-9.096,-8.04071312343462,-1.055286876565381
1758217989.5630915,4.84633469581604,-9.129,-8.065993023404927,-1.063006976595073
1758217989.569573,4.852816104888916,-9.041,-8.089425225361964,-0.9515747746380363
1758217989.576043,4.859286069869995,-10.233,-8.11115023358365,-2.12184976641635
1758217989.5825393,4.8657824993133545,-9.148,-8.131285097784373,-1.016714902215627
1758217989.5890539,4.872297048568726,-9.22,-8.149782518324656,-1.0702174816753445
1758217989.5956657,4.87890887260437,-10.013,-8.166818107667504,-1.8461818923324955
1758217989.602235,4.885478258132935,-9.199,-8.182006719907282,-1.0169932800927182
1758217989.6087818,4.892024993896484,-8.693,-8.19541671646333,-0.49758328353667025
1758217989.6150692,4.898312330245972,-9.299,-8.206670584399783,-1.0923294156002168
1758217989.6215014,4.904744625091553,-9.426,-8.21653421524239,-1.2094657847576098
1758217989.6279972,4.911240339279175,-9.419,-8.224799845191537,-1.1942001548084633
1758217989.6343596,4.917602777481079,-9.366,-8.231242768566723,-1.1347572314332766
1758217989.6409569,4.924200057983398,-7.07,-8.236194474749801,1.1661944747498012
1758217989.6477475,4.930990695953369,-7.994,-8.239451720078241,0.24545172007824156
1758217989.6542876,4.937530755996704,-9.974,-8.240823964263184,-1.7331760357368164
1758217989.6608005,4.9440436363220215,-9.112,-8.240469362214158,-0.8715306377858418
1758217989.6669507,4.950193881988525,-9.996,-8.238557792842565,-1.7574422071574354
1758217989.6727593,4.956002473831177,-9.857,-8.235346425427709,-1.6216535745722904
1758217989.678544,4.961787223815918,-8.677,-8.230791343519092,-0.44620865648090735
1758217989.6842802,4.9675233364105225,-9.651,-8.224938210768606,-1.4260617892313938
1758217989.6900856,4.9733288288116455,-9.17,-8.217660289893745,-0.952339710106255
1758217989.695754,4.978997230529785,-9.318,-8.209241096023709,-1.108758903976291
